date_time,alabama_maxtempC,alabama_mintempC,alaska_maxtempC,alaska_mintempC,arizona_maxtempC,arizona_mintempC,arkansas_maxtempC,arkansas_mintempC,california_maxtempC,california_mintempC,colorado_maxtempC,colorado_mintempC,connecticut_maxtempC,connecticut_mintempC,delaware_maxtempC,delaware_mintempC,district_of_columbia_maxtempC,district_of_columbia_mintempC,florida_maxtempC,florida_mintempC,georgia_maxtempC,georgia_mintempC,hawaii_maxtempC,hawaii_mintempC,idaho_maxtempC,idaho_mintempC,illinois_maxtempC,illinois_mintempC,indiana_maxtempC,indiana_mintempC,iowa_maxtempC,iowa_mintempC,kansas_maxtempC,kansas_mintempC,kentucky_maxtempC,kentucky_mintempC,louisiana_maxtempC,louisiana_mintempC,maine_maxtempC,maine_mintempC,montana_maxtempC,montana_mintempC,nebraska_maxtempC,nebraska_mintempC,nevada_maxtempC,nevada_mintempC,new_hampshire_maxtempC,new_hampshire_mintempC,new_jersey_maxtempC,new_jersey_mintempC,new_mexico_maxtempC,new_mexico_mintempC,new_york_maxtempC,new_york_mintempC,north_carolina_maxtempC,north_carolina_mintempC,north_dakota_maxtempC,north_dakota_mintempC,ohio_maxtempC,ohio_mintempC,oklahoma_maxtempC,oklahoma_mintempC,oregon_maxtempC,oregon_mintempC,maryland_maxtempC,maryland_mintempC,massachusetts_maxtempC,massachusetts_mintempC,michigan_maxtempC,michigan_mintempC,minnesota_maxtempC,minnesota_mintempC,mississippi_maxtempC,mississippi_mintempC,missouri_maxtempC,missouri_mintempC,pennsylvania_maxtempC,pennsylvania_mintempC,rhode_island_maxtempC,rhode_island_mintempC,south_carolina_maxtempC,south_carolina_mintempC,south_dakota_maxtempC,south_dakota_mintempC,tennessee_maxtempC,tennessee_mintempC,texas_maxtempC,texas_mintempC,utah_maxtempC,utah_mintempC,vermont_maxtempC,vermont_mintempC,virginia_maxtempC,virginia_mintempC,washington_maxtempC,washington_mintempC,west_virginia_maxtempC,west_virginia_mintempC,wisconsin_maxtempC,wisconsin_mintempC,wyoming_maxtempC,wyoming_mintempC
2020-01-01,14,9,32,21,28,22,13,0,12,5,6,-6,3,-2,4,-3,7,1,23,11,8,3,20,12,0,-7,6,-3,6,1,6,-3,11,-1,37,16,9,-1,25,13,5,-3,8,-2,21,13,4,-2,4,1,38,19,4,0,10,3,4,-6,4,-3,13,4,11,7,11,2,4,0,4,-2,1,-11,12,3,15,12,-1,-8,4,0,26,17,2,-5,8,-2,15,9,-8,-16,28,24,10,6,10,3,5,2,1,-11,1,-6
2020-01-02,21,17,29,21,29,21,12,5,12,4,2,-9,7,-3,8,1,9,4,23,11,6,2,23,15,-6,-12,8,3,9,4,7,2,11,4,37,16,10,4,21,10,4,-4,8,1,25,10,8,2,7,2,39,20,7,2,12,3,6,2,8,2,15,9,8,3,11,6,7,0,6,1,2,-3,17,9,16,12,6,-2,7,0,27,18,1,-6,9,4,16,9,-8,-12,28,24,12,6,10,4,11,1,1,0,4,-1
2020-01-03,21,11,28,22,31,21,10,3,14,6,3,-11,5,-1,9,7,11,7,26,10,6,0,24,15,-3,-11,4,0,11,6,3,-1,8,2,38,14,6,-1,22,11,5,-2,4,-1,24,11,9,6,8,1,40,20,8,6,19,7,2,-2,8,6,11,6,12,7,8,4,8,4,4,2,1,-5,15,13,19,14,7,3,7,3,29,18,0,-8,5,1,19,15,-8,-17,28,20,20,10,12,9,13,10,-1,-5,3,0
2020-01-04,16,10,24,16,29,23,9,-1,16,7,10,-1,7,4,5,-1,12,8,22,9,4,1,20,16,0,-10,-1,-3,2,0,-1,-4,6,-2,40,17,3,-1,24,11,8,2,6,-3,23,10,3,-1,12,7,40,22,13,6,18,8,0,-5,2,-1,11,2,8,-1,4,0,6,1,1,-1,-4,-9,10,4,21,12,9,0,9,5,29,18,-2,-11,1,-2,17,12,-10,-19,26,23,16,11,13,8,9,2,-4,-8,1,-2
2020-01-05,15,7,24,20,22,19,11,2,12,5,2,-5,2,-6,3,-3,5,1,16,9,8,0,20,15,-6,-10,6,-2,6,-2,5,-2,9,2,35,14,8,0,26,12,2,0,7,1,21,12,4,-3,4,-1,40,23,4,-1,8,1,4,-4,5,-2,12,6,8,5,10,1,3,-1,4,-2,2,-4,14,2,22,14,1,-2,3,-1,29,17,0,-10,8,-1,18,14,-9,-19,27,23,8,5,7,2,5,-3,1,-7,1,-4
2020-01-06,17,10,30,17,20,19,10,1,13,4,2,-10,4,-2,4,-1,9,2,23,11,8,1,27,16,-2,-8,4,-3,6,-1,4,-3,8,0,36,14,7,-1,27,15,1,-5,7,-1,24,9,3,-2,6,2,37,20,6,1,11,3,2,-4,3,-1,11,4,8,1,9,1,3,-2,3,0,0,-6,17,7,22,16,2,-5,4,-2,29,17,-1,-7,5,-2,19,16,-8,-16,27,20,11,6,9,2,6,2,-1,-6,2,-3
2020-01-07,16,11,27,19,23,20,12,0,13,5,8,-8,3,-3,5,0,5,-5,23,9,8,1,22,16,-2,-10,3,-1,5,1,3,-2,10,0,32,21,6,0,29,16,2,-4,9,-2,25,9,5,-1,5,3,34,19,5,2,8,2,2,-2,5,-2,14,3,12,4,7,2,4,1,3,0,-4,-11,12,6,21,13,1,-3,4,0,29,17,-7,-19,5,-1,15,11,-11,-21,28,23,13,5,6,-2,6,-1,-3,-10,2,-1
2020-01-08,15,8,27,19,26,21,13,3,10,5,8,-4,3,-7,-2,-4,5,-1,26,15,8,2,18,15,-1,-7,-2,-8,2,-2,-3,-9,10,-1,32,21,4,-2,30,18,2,-5,5,-3,24,11,-3,-4,4,-1,33,19,4,-1,11,2,-6,-13,-3,-4,14,6,7,4,6,0,4,-2,-5,-10,-12,-19,14,5,19,10,-1,-8,4,-3,28,16,-16,-25,1,-5,16,12,-13,-23,27,23,10,4,6,-2,4,-1,-12,-20,-6,-7
2020-01-09,19,13,32,19,26,20,17,10,9,2,1,-9,-2,-7,6,-4,2,-3,26,10,6,1,17,10,-3,-7,11,-2,10,-1,11,-2,16,8,31,15,12,4,31,17,4,-1,10,3,26,10,8,-4,1,-3,35,21,1,-4,7,-1,7,-5,8,-4,20,12,6,-1,12,7,-1,-6,8,-3,3,-8,15,5,23,16,-3,-9,0,-7,26,17,-5,-13,11,1,19,17,-8,-19,27,24,5,2,3,-1,12,-1,3,-10,4,-6
2020-01-10,20,16,32,17,28,21,16,9,10,2,-3,-11,8,-2,11,4,11,2,26,8,5,1,21,16,-9,-17,4,0,13,5,2,-3,7,-3,34,16,13,8,32,17,9,1,0,-9,27,12,12,7,9,1,35,20,9,1,16,4,3,0,12,4,20,13,7,3,16,12,8,-2,8,-2,-7,-14,19,14,24,20,4,-5,9,0,24,17,-16,-24,7,3,19,13,-9,-19,27,20,16,7,11,2,17,6,-4,-9,5,2
