Index,Date
1,01/01/20
2,01/02/20
3,01/03/20
4,01/04/20
5,01/05/20
6,01/06/20
7,01/07/20
8,01/08/20
9,01/09/20
10,01/10/20
11,01/11/20
12,01/12/20
13,01/13/20
14,01/14/20
15,01/15/20
16,01/16/20
17,01/17/20
18,01/18/20
19,01/19/20
20,01/20/20
21,01/21/20
22,01/22/20
23,01/23/20
24,01/24/20
25,01/25/20
26,01/26/20
27,01/27/20
28,01/28/20
29,01/29/20
30,01/30/20
31,01/31/20
32,02/01/20
33,02/02/20
34,02/03/20
35,02/04/20
36,02/05/20
37,02/06/20
38,02/07/20
39,02/08/20
40,02/09/20
41,02/10/20
42,02/11/20
43,02/12/20
44,02/13/20
45,02/14/20
46,02/15/20
47,02/16/20
48,02/17/20
49,02/18/20
50,02/19/20
51,02/20/20
52,02/21/20
53,02/22/20
54,02/23/20
55,02/24/20
56,02/25/20
57,02/26/20
58,02/27/20
59,02/28/20
60,02/29/20
61,03/01/20
62,03/02/20
63,03/03/20
64,03/04/20
65,03/05/20
66,03/06/20
67,03/07/20
68,03/08/20
69,03/09/20
70,03/10/20
71,03/11/20
72,03/12/20
73,03/13/20
74,03/14/20
75,03/15/20
76,03/16/20
77,03/17/20
78,03/18/20
79,03/19/20
80,03/20/20
81,03/21/20
82,03/22/20
83,03/23/20
84,03/24/20
85,03/25/20
86,03/26/20
87,03/27/20
88,03/28/20
89,03/29/20
90,03/30/20
91,03/31/20
92,04/01/20
93,04/02/20
94,04/03/20
95,04/04/20
96,04/05/20
97,04/06/20
98,04/07/20
99,04/08/20
100,04/09/20
101,04/10/20
102,04/11/20
103,04/12/20
104,04/13/20
105,04/14/20
106,04/15/20
107,04/16/20
108,04/17/20
109,04/18/20
110,04/19/20
111,04/20/20
112,04/21/20
113,04/22/20
114,04/23/20
115,04/24/20
116,04/25/20
117,04/26/20
118,04/27/20
119,04/28/20
120,04/29/20
121,04/30/20
122,05/01/20
123,05/02/20
124,05/03/20
125,05/04/20
126,05/05/20
127,05/06/20
128,05/07/20
129,05/08/20
130,05/09/20
131,05/10/20
132,05/11/20
133,05/12/20
134,05/13/20
135,05/14/20
136,05/15/20
137,05/16/20
138,05/17/20
139,05/18/20
140,05/19/20
141,05/20/20
